ID,Title,Year,Authors,Region,Participants_Female,Participants_Male,Funding_Source,Research_Area,Trial_Outcome,Gender_Imbalance_Score
294,Study on Cardiology (2019),2000,Author48; Author66,Oceania,234,192,Government,Genetics,Success,42
295,Study on Pharmacology (2009),2023,Author34; Author62,Asia,15,89,Government,Neurology,Neutral,74
296,Study on Public Health (2017),2005,Author36; Author61,North America,113,80,Government,Public Health,Success,33
297,Study on Oncology (2009),2015,Author22; Author86,Oceania,445,145,Government,Pharmacology,Success,300
298,Study on Neurology (2006),2016,Author28; Author80,Oceania,346,197,Private,Neurology,Neutral,149
299,Study on Public Health (2018),2012,Author15; Author76,Africa,486,465,Private,Genetics,Neutral,21
300,Study on Pharmacology (2020),2017,Author41; Author62,Oceania,421,308,Government,Genetics,Failure,113
301,Study on Neurology (2014),2003,Author12; Author91,Africa,275,137,Private,Neurology,Failure,138
302,Study on Public Health (2014),2008,Author43; Author78,Oceania,156,129,Government,Public Health,Neutral,27
303,Study on Genetics (2006),2008,Author26; Author52,Africa,109,141,Government,Pharmacology,Failure,32
304,Study on Pharmacology (2015),2022,Author48; Author90,Europe,27,425,Government,Genetics,Success,398
305,Study on Genetics (2005),2014,Author13; Author79,Oceania,411,163,Private,Genetics,Success,248
306,Study on Genetics (2002),2006,Author38; Author78,Asia,316,57,Government,Pharmacology,Neutral,259
307,Study on Neurology (2016),2019,Author25; Author51,Africa,271,302,Government,Pharmacology,Success,31
308,Study on Genetics (2020),2009,Author46; Author64,Africa,274,214,NGO,Public Health,Success,60
309,Study on Pharmacology (2010),2022,Author14; Author68,Oceania,367,301,NGO,Public Health,Failure,66
310,Study on Oncology (2007),2015,Author49; Author96,Oceania,128,479,Private,Neurology,Failure,351
311,Study on Genetics (2009),2006,Author5; Author87,Africa,324,121,NGO,Pharmacology,Neutral,203
312,Study on Cardiology (2006),2003,Author7; Author85,North America,96,385,Private,Cardiology,Failure,289
313,Study on Cardiology (2000),2004,Author12; Author74,South America,355,49,Government,Neurology,Failure,306
314,Study on Oncology (2007),2002,Author21; Author63,Oceania,28,380,NGO,Cardiology,Success,352
315,Study on Public Health (2019),2014,Author30; Author58,Oceania,194,176,Private,Neurology,Failure,18
316,Study on Oncology (2014),2005,Author17; Author93,Europe,132,415,Government,Cardiology,Success,283
317,Study on Public Health (2020),2022,Author32; Author84,South America,345,257,NGO,Public Health,Neutral,88
318,Study on Pharmacology (2006),2014,Author41; Author71,Asia,10,98,NGO,Neurology,Success,88
319,Study on Genetics (2022),2002,Author39; Author75,Oceania,90,259,Private,Neurology,Failure,169
320,Study on Public Health (2015),2021,Author40; Author76,Oceania,54,432,Government,Oncology,Neutral,378
321,Study on Public Health (2007),2010,Author38; Author58,Oceania,151,470,NGO,Cardiology,Neutral,319
322,Study on Cardiology (2020),2021,Author23; Author73,South America,409,363,Government,Neurology,Success,46
323,Study on Genetics (2000),2011,Author30; Author90,Europe,214,369,Government,Neurology,Failure,155
324,Study on Oncology (2013),2022,Author12; Author94,Africa,190,305,NGO,Public Health,Success,115
325,Study on Cardiology (2005),2002,Author46; Author70,Africa,352,429,Government,Cardiology,Failure,77
326,Study on Genetics (2016),2017,Author40; Author88,North America,212,474,Private,Pharmacology,Success,262
327,Study on Public Health (2001),2017,Author6; Author94,North America,217,58,NGO,Cardiology,Success,159
328,Study on Pharmacology (2007),2009,Author9; Author71,Oceania,310,314,Private,Genetics,Failure,4
329,Study on Oncology (2014),2009,Author8; Author66,Europe,112,338,NGO,Pharmacology,Failure,226
330,Study on Cardiology (2014),2005,Author20; Author58,Africa,275,163,Private,Neurology,Success,112
331,Study on Genetics (2016),2022,Author12; Author74,South America,17,29,Government,Cardiology,Neutral,12
332,Study on Pharmacology (2019),2022,Author45; Author60,South America,387,384,Government,Cardiology,Failure,3
333,Study on Neurology (2014),2022,Author33; Author75,Europe,370,423,Private,Genetics,Success,53
334,Study on Pharmacology (2023),2020,Author27; Author89,North America,45,305,Government,Genetics,Failure,260
335,Study on Pharmacology (2013),2005,Author9; Author87,South America,480,205,Private,Genetics,Neutral,275
336,Study on Pharmacology (2014),2011,Author25; Author78,Asia,56,50,NGO,Cardiology,Neutral,6
337,Study on Cardiology (2023),2016,Author12; Author82,Europe,291,409,NGO,Cardiology,Neutral,118
338,Study on Public Health (2014),2007,Author41; Author85,Asia,155,38,Government,Cardiology,Failure,117
339,Study on Neurology (2007),2003,Author45; Author92,Asia,381,481,Government,Oncology,Success,100
340,Study on Genetics (2008),2006,Author12; Author86,North America,434,404,NGO,Oncology,Success,30
341,Study on Pharmacology (2015),2004,Author11; Author82,Africa,296,181,Government,Neurology,Failure,115
342,Study on Genetics (2007),2007,Author19; Author59,Europe,478,188,NGO,Pharmacology,Success,290
343,Study on Neurology (2014),2015,Author12; Author71,Africa,308,460,NGO,Cardiology,Failure,152
344,Study on Oncology (2022),2000,Author29; Author90,Oceania,188,428,Private,Public Health,Neutral,240
345,Study on Neurology (2007),2011,Author4; Author73,South America,187,232,Private,Neurology,Failure,45
346,Study on Neurology (2010),2017,Author1; Author82,South America,427,223,NGO,Neurology,Neutral,204
347,Study on Neurology (2017),2018,Author9; Author63,Europe,151,486,NGO,Cardiology,Success,335
348,Study on Oncology (2004),2011,Author25; Author86,North America,125,454,Private,Cardiology,Neutral,329
349,Study on Cardiology (2007),2014,Author33; Author92,South America,320,71,NGO,Pharmacology,Failure,249
350,Study on Public Health (2022),2017,Author32; Author77,South America,109,455,NGO,Genetics,Neutral,346
351,Study on Cardiology (2022),2004,Author44; Author82,Africa,242,404,NGO,Oncology,Failure,162
352,Study on Cardiology (2002),2019,Author27; Author96,South America,486,126,Government,Genetics,Neutral,360
353,Study on Public Health (2013),2002,Author29; Author82,North America,216,392,Private,Neurology,Neutral,176
354,Study on Neurology (2017),2002,Author11; Author56,South America,304,344,NGO,Neurology,Failure,40
355,Study on Public Health (2013),2009,Author37; Author52,South America,12,444,NGO,Cardiology,Success,432
356,Study on Oncology (2006),2012,Author49; Author65,Asia,143,318,Government,Neurology,Success,175
357,Study on Public Health (2012),2022,Author19; Author53,North America,99,485,Government,Public Health,Neutral,386
358,Study on Pharmacology (2022),2023,Author18; Author65,South America,218,15,NGO,Pharmacology,Success,203
359,Study on Oncology (2018),2015,Author35; Author69,Oceania,269,334,Private,Cardiology,Success,65
360,Study on Public Health (2015),2016,Author11; Author100,Oceania,64,408,Government,Pharmacology,Failure,344
361,Study on Oncology (2011),2013,Author30; Author87,North America,296,333,Private,Neurology,Success,37
362,Study on Neurology (2012),2013,Author48; Author100,North America,47,205,Government,Oncology,Failure,158
363,Study on Public Health (2017),2018,Author50; Author82,South America,267,37,Government,Oncology,Failure,230
364,Study on Genetics (2023),2002,Author36; Author83,South America,160,166,Private,Public Health,Neutral,6
365,Study on Pharmacology (2019),2004,Author8; Author87,North America,184,278,NGO,Public Health,Neutral,94
366,Study on Cardiology (2015),2010,Author8; Author68,Africa,494,31,Private,Cardiology,Neutral,463
367,Study on Cardiology (2008),2020,Author50; Author85,Africa,69,173,NGO,Public Health,Neutral,104
368,Study on Public Health (2015),2002,Author24; Author85,North America,421,286,NGO,Neurology,Neutral,135
369,Study on Oncology (2012),2014,Author49; Author53,North America,272,299,Government,Cardiology,Success,27
370,Study on Neurology (2021),2014,Author49; Author97,Africa,499,86,Government,Oncology,Success,413
371,Study on Genetics (2012),2021,Author29; Author85,Africa,141,177,Government,Genetics,Failure,36
372,Study on Genetics (2005),2016,Author14; Author78,Oceania,458,267,NGO,Pharmacology,Neutral,191
373,Study on Public Health (2004),2011,Author7; Author98,Asia,285,367,NGO,Pharmacology,Neutral,82
374,Study on Pharmacology (2017),2004,Author42; Author99,Africa,426,123,Private,Neurology,Failure,303
375,Study on Oncology (2012),2017,Author16; Author70,Africa,416,88,Private,Genetics,Failure,328
376,Study on Pharmacology (2018),2020,Author3; Author79,Europe,304,35,Private,Genetics,Failure,269
377,Study on Genetics (2000),2018,Author17; Author73,Oceania,138,354,Private,Neurology,Neutral,216
378,Study on Oncology (2020),2005,Author6; Author79,Oceania,365,384,NGO,Public Health,Failure,19
379,Study on Public Health (2004),2004,Author8; Author100,South America,236,211,NGO,Neurology,Success,25
380,Study on Public Health (2005),2013,Author16; Author64,Asia,203,238,Private,Pharmacology,Neutral,35
381,Study on Oncology (2008),2016,Author48; Author88,Asia,298,395,Private,Genetics,Success,97
382,Study on Public Health (2010),2001,Author45; Author73,North America,257,314,NGO,Cardiology,Neutral,57
383,Study on Cardiology (2014),2003,Author46; Author90,Europe,404,304,Private,Pharmacology,Success,100
384,Study on Neurology (2010),2016,Author41; Author78,South America,134,268,Government,Genetics,Failure,134
385,Study on Public Health (2008),2004,Author11; Author90,Asia,397,56,NGO,Public Health,Success,341
386,Study on Public Health (2008),2009,Author9; Author64,Africa,183,123,Government,Neurology,Neutral,60
387,Study on Oncology (2015),2005,Author14; Author54,Africa,407,231,Government,Genetics,Failure,176
388,Study on Oncology (2023),2005,Author37; Author73,Africa,244,158,NGO,Oncology,Failure,86
389,Study on Pharmacology (2001),2010,Author35; Author68,South America,358,412,NGO,Genetics,Failure,54
390,Study on Neurology (2007),2022,Author39; Author85,Oceania,245,211,Government,Public Health,Success,34
391,Study on Genetics (2002),2007,Author11; Author71,Oceania,469,85,Private,Oncology,Success,384
392,Study on Genetics (2001),2011,Author46; Author69,Asia,310,77,Private,Cardiology,Failure,233
393,Study on Oncology (2007),2016,Author19; Author87,Oceania,451,182,NGO,Genetics,Neutral,269
394,Study on Cardiology (2000),2009,Author18; Author83,South America,24,52,Government,Pharmacology,Neutral,28
395,Study on Pharmacology (2004),2002,Author44; Author57,North America,256,253,Government,Oncology,Failure,3
396,Study on Cardiology (2004),2008,Author9; Author99,North America,69,302,NGO,Neurology,Success,233
397,Study on Public Health (2021),2006,Author27; Author54,Oceania,142,391,NGO,Oncology,Failure,249
398,Study on Oncology (2018),2020,Author18; Author92,Europe,44,35,Government,Public Health,Success,9
399,Study on Cardiology (2014),2017,Author9; Author95,North America,205,290,Government,Pharmacology,Failure,85
400,Study on Genetics (2008),2008,Author9; Author66,Asia,334,214,NGO,Cardiology,Success,120
401,Study on Neurology (2005),2004,Author10; Author96,Asia,413,144,Government,Public Health,Success,269
402,Study on Pharmacology (2019),2020,Author21; Author66,Oceania,122,53,Private,Neurology,Failure,69
403,Study on Genetics (2022),2009,Author49; Author94,Asia,356,214,NGO,Oncology,Failure,142
404,Study on Oncology (2005),2019,Author26; Author82,Africa,369,266,Private,Neurology,Neutral,103
405,Study on Neurology (2003),2017,Author10; Author87,Africa,127,232,NGO,Oncology,Failure,105
406,Study on Pharmacology (2000),2002,Author41; Author68,Asia,419,406,NGO,Pharmacology,Failure,13
407,Study on Neurology (2018),2016,Author41; Author77,Oceania,171,367,Government,Genetics,Failure,196
408,Study on Genetics (2012),2020,Author25; Author79,North America,221,76,Private,Cardiology,Failure,145
409,Study on Public Health (2022),2005,Author5; Author91,North America,499,400,Government,Pharmacology,Neutral,99
410,Study on Cardiology (2002),2018,Author50; Author56,Europe,190,79,Private,Pharmacology,Failure,111
411,Study on Pharmacology (2022),2018,Author26; Author83,South America,274,256,Government,Cardiology,Neutral,18
412,Study on Genetics (2007),2004,Author48; Author68,Europe,284,296,NGO,Neurology,Failure,12
413,Study on Oncology (2022),2005,Author45; Author74,Oceania,14,111,Private,Cardiology,Failure,97
414,Study on Neurology (2021),2021,Author30; Author82,Oceania,368,259,Private,Oncology,Success,109
415,Study on Pharmacology (2003),2019,Author21; Author88,Oceania,436,212,NGO,Oncology,Failure,224
416,Study on Pharmacology (2001),2023,Author1; Author100,South America,144,343,NGO,Pharmacology,Neutral,199
417,Study on Neurology (2017),2019,Author47; Author56,North America,137,302,Government,Public Health,Failure,165
418,Study on Public Health (2021),2010,Author47; Author80,Asia,157,110,Private,Genetics,Success,47
419,Study on Neurology (2002),2018,Author41; Author93,Africa,57,297,Government,Genetics,Neutral,240
420,Study on Pharmacology (2020),2001,Author45; Author73,Europe,214,325,Private,Oncology,Neutral,111
421,Study on Neurology (2000),2000,Author5; Author85,Europe,354,386,Private,Pharmacology,Neutral,32
422,Study on Public Health (2015),2002,Author26; Author64,North America,393,278,Government,Public Health,Failure,115
423,Study on Oncology (2013),2001,Author28; Author64,South America,430,136,NGO,Cardiology,Success,294
424,Study on Neurology (2020),2020,Author32; Author68,Europe,185,134,NGO,Public Health,Success,51
425,Study on Public Health (2022),2018,Author21; Author69,South America,48,46,Government,Neurology,Success,2
426,Study on Cardiology (2013),2008,Author22; Author86,Europe,293,146,NGO,Pharmacology,Success,147
427,Study on Cardiology (2023),2020,Author37; Author59,Oceania,486,407,Government,Pharmacology,Success,79
428,Study on Pharmacology (2020),2006,Author37; Author82,Asia,101,230,NGO,Pharmacology,Success,129
429,Study on Neurology (2019),2018,Author22; Author94,North America,253,175,Government,Oncology,Success,78
430,Study on Pharmacology (2015),2013,Author49; Author54,South America,170,360,Government,Genetics,Failure,190
431,Study on Public Health (2013),2019,Author3; Author57,North America,191,483,Government,Neurology,Failure,292
432,Study on Genetics (2018),2020,Author41; Author80,Oceania,121,304,Government,Public Health,Success,183
433,Study on Neurology (2010),2000,Author2; Author58,Oceania,467,55,NGO,Cardiology,Neutral,412
434,Study on Cardiology (2002),2015,Author11; Author79,Africa,303,67,Private,Genetics,Failure,236
435,Study on Neurology (2014),2020,Author30; Author51,North America,147,353,NGO,Public Health,Failure,206
436,Study on Cardiology (2014),2017,Author28; Author63,South America,103,221,Private,Neurology,Success,118
437,Study on Pharmacology (2019),2009,Author45; Author59,South America,494,226,Government,Public Health,Failure,268
438,Study on Genetics (2012),2020,Author42; Author70,Oceania,392,197,Private,Neurology,Success,195
439,Study on Neurology (2000),2009,Author11; Author68,Africa,359,188,Private,Oncology,Failure,171
440,Study on Public Health (2010),2015,Author6; Author92,Africa,486,107,NGO,Neurology,Failure,379
441,Study on Cardiology (2015),2007,Author24; Author67,Europe,475,174,Government,Neurology,Neutral,301
442,Study on Cardiology (2011),2021,Author6; Author74,South America,107,186,Government,Neurology,Neutral,79
443,Study on Neurology (2010),2012,Author43; Author92,North America,265,314,Government,Neurology,Failure,49
444,Study on Neurology (2019),2009,Author11; Author54,Africa,387,345,Private,Public Health,Failure,42
445,Study on Genetics (2008),2014,Author26; Author91,Oceania,112,22,Government,Pharmacology,Failure,90
446,Study on Pharmacology (2000),2002,Author20; Author97,North America,130,404,NGO,Oncology,Success,274
447,Study on Pharmacology (2006),2022,Author45; Author99,Africa,386,166,Private,Cardiology,Neutral,220
448,Study on Oncology (2007),2001,Author15; Author78,South America,133,96,Private,Genetics,Success,37
449,Study on Genetics (2013),2005,Author42; Author56,Africa,456,189,Private,Public Health,Success,267
450,Study on Public Health (2017),2014,Author46; Author57,South America,145,325,Private,Genetics,Failure,180
451,Study on Cardiology (2022),2013,Author1; Author64,Africa,115,430,NGO,Public Health,Success,315
452,Study on Public Health (2020),2015,Author31; Author55,Europe,127,421,Private,Public Health,Success,294
453,Study on Genetics (2015),2014,Author9; Author88,Oceania,113,236,Private,Neurology,Failure,123
454,Study on Public Health (2000),2006,Author15; Author84,Africa,437,329,NGO,Cardiology,Success,108
455,Study on Oncology (2009),2010,Author44; Author79,Europe,137,84,Government,Genetics,Success,53
456,Study on Cardiology (2012),2019,Author1; Author51,Oceania,438,235,NGO,Public Health,Neutral,203
457,Study on Genetics (2007),2004,Author45; Author72,Europe,326,32,Government,Genetics,Neutral,294
458,Study on Neurology (2021),2010,Author8; Author78,North America,192,483,Private,Public Health,Failure,291
459,Study on Pharmacology (2011),2022,Author45; Author59,South America,89,428,Private,Cardiology,Neutral,339
460,Study on Public Health (2017),2010,Author31; Author55,Oceania,408,129,Private,Pharmacology,Neutral,279
461,Study on Pharmacology (2011),2023,Author15; Author75,Africa,64,112,NGO,Pharmacology,Neutral,48
462,Study on Public Health (2023),2011,Author6; Author97,Africa,71,360,Government,Oncology,Success,289
463,Study on Pharmacology (2010),2012,Author7; Author57,Asia,481,201,Government,Cardiology,Neutral,280
464,Study on Neurology (2022),2004,Author21; Author74,Africa,50,89,NGO,Cardiology,Success,39
465,Study on Public Health (2008),2011,Author20; Author59,South America,356,397,NGO,Neurology,Neutral,41
466,Study on Neurology (2008),2016,Author25; Author100,South America,499,382,Government,Public Health,Neutral,117
467,Study on Cardiology (2003),2017,Author49; Author59,Africa,349,446,NGO,Pharmacology,Success,97
468,Study on Genetics (2006),2003,Author42; Author94,Oceania,262,53,Private,Neurology,Failure,209
469,Study on Neurology (2003),2010,Author10; Author55,Europe,324,67,Government,Oncology,Success,257
470,Study on Genetics (2017),2007,Author34; Author87,Asia,13,388,NGO,Pharmacology,Success,375
471,Study on Genetics (2005),2014,Author1; Author90,South America,401,37,Government,Public Health,Failure,364
472,Study on Cardiology (2006),2003,Author42; Author61,Asia,448,134,NGO,Oncology,Neutral,314
473,Study on Genetics (2015),2008,Author29; Author73,Asia,287,495,Government,Oncology,Success,208
474,Study on Neurology (2023),2014,Author47; Author64,South America,500,327,Government,Public Health,Failure,173
475,Study on Pharmacology (2016),2007,Author41; Author98,Europe,31,484,Government,Genetics,Success,453
476,Study on Pharmacology (2009),2004,Author10; Author77,Europe,444,85,Private,Neurology,Failure,359
477,Study on Oncology (2006),2003,Author40; Author94,South America,256,454,Private,Public Health,Neutral,198
478,Study on Neurology (2007),2001,Author29; Author64,Africa,200,436,Government,Cardiology,Neutral,236
479,Study on Neurology (2005),2009,Author6; Author57,Oceania,327,429,NGO,Pharmacology,Success,102
480,Study on Neurology (2000),2012,Author9; Author99,Oceania,171,157,Private,Public Health,Failure,14
481,Study on Genetics (2017),2019,Author8; Author88,Africa,262,17,NGO,Genetics,Failure,245
482,Study on Cardiology (2008),2013,Author47; Author75,Asia,469,185,Government,Pharmacology,Neutral,284
483,Study on Oncology (2001),2007,Author23; Author78,Oceania,461,365,NGO,Cardiology,Success,96
484,Study on Pharmacology (2009),2005,Author21; Author59,Africa,469,421,Private,Cardiology,Failure,48
485,Study on Genetics (2004),2010,Author16; Author68,Asia,304,66,NGO,Cardiology,Success,238
486,Study on Genetics (2015),2018,Author42; Author56,Oceania,454,166,NGO,Public Health,Success,288
487,Study on Oncology (2000),2023,Author16; Author86,Oceania,150,240,Government,Neurology,Success,90
488,Study on Pharmacology (2009),2010,Author39; Author89,Africa,261,251,Government,Pharmacology,Failure,10
489,Study on Public Health (2015),2006,Author47; Author89,Oceania,103,21,NGO,Public Health,Neutral,82
490,Study on Public Health (2010),2005,Author19; Author100,Europe,401,179,NGO,Oncology,Neutral,222
491,Study on Cardiology (2001),2015,Author45; Author52,Europe,478,117,Government,Neurology,Failure,361
492,Study on Neurology (2015),2016,Author43; Author70,Europe,271,388,Private,Pharmacology,Failure,117
493,Study on Oncology (2002),2014,Author14; Author84,Africa,153,285,Private,Neurology,Neutral,132
494,Study on Public Health (2015),2015,Author39; Author83,Oceania,213,118,NGO,Public Health,Failure,95
495,Study on Oncology (2018),2009,Author13; Author98,Asia,123,114,Government,Pharmacology,Neutral,9
496,Study on Genetics (2021),2015,Author26; Author69,Oceania,394,289,NGO,Genetics,Neutral,105
497,Study on Oncology (2004),2000,Author42; Author54,Asia,305,277,Government,Public Health,Success,28
498,Study on Cardiology (2018),2002,Author16; Author82,Oceania,75,394,Private,Cardiology,Failure,319
499,Study on Neurology (2002),2012,Author25; Author58,Europe,37,142,NGO,Oncology,Success,105
500,Study on Cardiology (2003),2016,Author16; Author82,Oceania,279,290,Government,Oncology,Neutral,11
501,Study on Pharmacology (2013),2014,Author41; Author89,Oceania,419,257,NGO,Cardiology,Neutral,162
502,Study on Pharmacology (2019),2007,Author5; Author84,Europe,226,328,Private,Neurology,Failure,102
503,Study on Pharmacology (2007),2006,Author1; Author74,Africa,254,383,Private,Neurology,Failure,129
504,Study on Pharmacology (2012),2018,Author21; Author59,Africa,491,82,NGO,Genetics,Neutral,409
505,Study on Public Health (2014),2011,Author25; Author87,Oceania,286,365,NGO,Genetics,Neutral,79
506,Study on Neurology (2018),2001,Author27; Author74,Oceania,26,367,NGO,Public Health,Neutral,341
507,Study on Public Health (2009),2001,Author35; Author94,Asia,267,352,Government,Oncology,Success,85
508,Study on Pharmacology (2019),2009,Author12; Author99,Oceania,187,19,Government,Genetics,Success,168
509,Study on Oncology (2019),2015,Author31; Author100,North America,211,202,NGO,Genetics,Success,9
510,Study on Genetics (2003),2019,Author5; Author52,Asia,450,308,Private,Neurology,Neutral,142
511,Study on Cardiology (2020),2020,Author38; Author55,Africa,361,473,NGO,Public Health,Failure,112
512,Study on Cardiology (2008),2021,Author1; Author67,South America,407,349,NGO,Cardiology,Failure,58
513,Study on Genetics (2002),2015,Author14; Author53,Africa,99,279,Private,Public Health,Success,180
514,Study on Cardiology (2007),2009,Author4; Author76,Africa,244,32,Private,Genetics,Neutral,212
515,Study on Cardiology (2017),2017,Author33; Author69,Oceania,71,140,Government,Genetics,Success,69
516,Study on Oncology (2005),2000,Author41; Author96,Oceania,367,97,NGO,Cardiology,Neutral,270
517,Study on Oncology (2013),2003,Author33; Author100,South America,275,40,NGO,Oncology,Neutral,235
518,Study on Public Health (2022),2013,Author27; Author78,Oceania,245,155,NGO,Oncology,Failure,90
519,Study on Pharmacology (2015),2004,Author45; Author76,Oceania,171,112,NGO,Neurology,Success,59
520,Study on Neurology (2001),2008,Author6; Author91,Africa,362,414,Private,Public Health,Failure,52
521,Study on Cardiology (2009),2023,Author35; Author85,Asia,14,366,NGO,Oncology,Failure,352
522,Study on Genetics (2009),2011,Author40; Author60,South America,16,326,NGO,Pharmacology,Success,310
523,Study on Genetics (2014),2012,Author18; Author56,North America,355,148,NGO,Genetics,Success,207
524,Study on Oncology (2021),2011,Author20; Author56,Africa,117,37,NGO,Neurology,Failure,80
525,Study on Cardiology (2008),2001,Author33; Author64,North America,204,248,Government,Pharmacology,Success,44
526,Study on Genetics (2018),2012,Author10; Author85,North America,307,345,NGO,Public Health,Success,38
527,Study on Genetics (2006),2001,Author21; Author76,South America,61,493,Private,Pharmacology,Success,432
528,Study on Public Health (2003),2018,Author38; Author91,Europe,176,14,Government,Public Health,Success,162
529,Study on Pharmacology (2007),2017,Author49; Author92,North America,195,44,NGO,Neurology,Failure,151
530,Study on Genetics (2004),2006,Author44; Author92,Oceania,323,208,Private,Genetics,Failure,115
531,Study on Neurology (2004),2011,Author5; Author70,North America,451,348,Government,Genetics,Failure,103
532,Study on Oncology (2001),2017,Author45; Author78,Europe,142,148,Government,Public Health,Neutral,6
533,Study on Cardiology (2009),2009,Author47; Author66,Asia,105,349,NGO,Genetics,Neutral,244
534,Study on Pharmacology (2023),2002,Author4; Author66,Europe,290,446,Government,Oncology,Success,156
535,Study on Pharmacology (2009),2012,Author6; Author78,Asia,144,477,NGO,Neurology,Success,333
536,Study on Public Health (2003),2016,Author8; Author80,Oceania,131,347,NGO,Pharmacology,Failure,216
537,Study on Public Health (2022),2014,Author40; Author89,Asia,147,194,Government,Genetics,Failure,47
538,Study on Neurology (2022),2017,Author4; Author70,Europe,251,452,Government,Pharmacology,Failure,201
539,Study on Public Health (2008),2008,Author43; Author98,North America,500,65,Government,Oncology,Neutral,435
540,Study on Pharmacology (2017),2019,Author43; Author98,Oceania,323,19,Government,Neurology,Failure,304
541,Study on Public Health (2014),2021,Author12; Author58,Asia,185,159,Government,Cardiology,Neutral,26
542,Study on Oncology (2019),2019,Author1; Author96,Europe,197,454,Private,Pharmacology,Neutral,257
543,Study on Oncology (2013),2003,Author9; Author95,Africa,104,462,Private,Oncology,Success,358
544,Study on Genetics (2010),2004,Author1; Author61,North America,265,342,NGO,Cardiology,Failure,77
545,Study on Pharmacology (2008),2003,Author32; Author73,Asia,227,207,NGO,Neurology,Neutral,20
546,Study on Oncology (2002),2012,Author34; Author84,South America,117,128,NGO,Public Health,Success,11
547,Study on Cardiology (2021),2011,Author47; Author67,North America,224,204,Government,Genetics,Failure,20
548,Study on Pharmacology (2018),2010,Author11; Author74,Africa,368,270,NGO,Cardiology,Neutral,98
549,Study on Oncology (2021),2017,Author9; Author98,Oceania,395,373,NGO,Neurology,Success,22
550,Study on Neurology (2018),2011,Author50; Author68,Oceania,200,60,Government,Cardiology,Failure,140
551,Study on Oncology (2005),2004,Author47; Author58,Africa,196,472,Private,Oncology,Failure,276
552,Study on Public Health (2016),2006,Author50; Author52,Europe,447,171,NGO,Neurology,Failure,276
553,Study on Genetics (2014),2019,Author22; Author78,Oceania,215,258,Government,Neurology,Failure,43
554,Study on Neurology (2005),2016,Author18; Author84,Oceania,153,453,NGO,Public Health,Failure,300
555,Study on Pharmacology (2013),2012,Author5; Author67,Africa,240,315,Private,Genetics,Neutral,75
556,Study on Genetics (2015),2016,Author46; Author87,South America,102,282,NGO,Neurology,Neutral,180
557,Study on Oncology (2015),2001,Author41; Author55,Europe,302,55,Private,Oncology,Failure,247
558,Study on Neurology (2013),2001,Author32; Author80,Africa,77,105,NGO,Neurology,Success,28
559,Study on Neurology (2010),2001,Author33; Author74,Oceania,304,111,Government,Neurology,Failure,193
560,Study on Genetics (2003),2004,Author4; Author82,Asia,361,266,NGO,Pharmacology,Failure,95
561,Study on Cardiology (2010),2022,Author37; Author61,Oceania,127,244,NGO,Genetics,Neutral,117
562,Study on Public Health (2022),2010,Author24; Author61,Oceania,426,297,Private,Oncology,Success,129
563,Study on Public Health (2009),2015,Author17; Author100,North America,61,484,Government,Pharmacology,Failure,423
564,Study on Genetics (2012),2016,Author7; Author87,South America,379,374,Government,Cardiology,Neutral,5
565,Study on Pharmacology (2001),2014,Author44; Author97,South America,148,21,Private,Genetics,Failure,127
566,Study on Public Health (2002),2004,Author8; Author65,South America,421,30,Private,Cardiology,Success,391
567,Study on Neurology (2008),2019,Author48; Author83,Oceania,130,136,NGO,Oncology,Success,6
568,Study on Neurology (2003),2016,Author1; Author53,Asia,294,482,Private,Pharmacology,Neutral,188
569,Study on Public Health (2016),2004,Author1; Author66,Africa,231,281,Government,Cardiology,Failure,50
570,Study on Oncology (2021),2010,Author3; Author81,North America,448,166,Government,Pharmacology,Failure,282
571,Study on Pharmacology (2014),2019,Author24; Author75,North America,205,180,Private,Neurology,Neutral,25
572,Study on Public Health (2001),2010,Author10; Author62,Oceania,110,260,NGO,Neurology,Success,150
573,Study on Cardiology (2016),2005,Author3; Author86,Asia,84,211,Government,Genetics,Neutral,127
574,Study on Neurology (2019),2012,Author46; Author98,Europe,419,391,Government,Neurology,Neutral,28
575,Study on Public Health (2020),2019,Author42; Author77,Africa,388,90,Government,Neurology,Neutral,298
576,Study on Public Health (2001),2023,Author15; Author71,South America,86,19,Private,Genetics,Success,67
577,Study on Cardiology (2008),2009,Author16; Author77,Europe,252,187,NGO,Genetics,Failure,65
578,Study on Pharmacology (2004),2018,Author47; Author71,Oceania,422,360,Private,Genetics,Neutral,62
579,Study on Neurology (2014),2010,Author18; Author55,Oceania,14,190,NGO,Neurology,Neutral,176
580,Study on Genetics (2015),2016,Author37; Author74,Oceania,100,191,Private,Oncology,Neutral,91
581,Study on Oncology (2000),2016,Author8; Author83,Oceania,225,330,NGO,Pharmacology,Neutral,105
582,Study on Genetics (2019),2017,Author44; Author54,Asia,265,164,NGO,Pharmacology,Success,101
583,Study on Cardiology (2022),2015,Author12; Author65,Africa,78,130,Private,Neurology,Failure,52
584,Study on Cardiology (2009),2022,Author34; Author53,Africa,467,266,NGO,Cardiology,Failure,201
585,Study on Pharmacology (2000),2018,Author26; Author55,Oceania,444,151,Government,Oncology,Failure,293
586,Study on Pharmacology (2013),2009,Author30; Author69,Africa,332,425,Government,Cardiology,Success,93
587,Study on Oncology (2007),2015,Author50; Author70,Europe,274,41,Private,Pharmacology,Failure,233
